C_chords_ref;C_chord_map;C_chord_map2
C/Eb;C;C
C;C;C
C/Ab;C;C
C/D;C;C
C/E;C;C
C/G;C;C
C/A;C;C
C/C;C;C
C/F#;C;C
C/F;C;C
C/B;C;C
C/Bb;C;C
C+/Ab;C+;C+
C+/C;C+;C+
C+;C+;C+
C+7;C+7;C+7
C+79;C+7;C+7
C+7911#;C+7;C+7#
C+79#;C+7;C+7#
C+79b;C+7;C+7b
C+j7/C;C+j7;C+j7
C+j7;C+j7;C+j7
C-/Db;C-;C-
C-;C-;C-
C-/Eb;C-;C-
C-/C;C-;C-
C-/C#;C-;C-
C-/Ab;C-;C-
C-/F;C-;C-
C-/Bb;C-;C-
C-/G;C-;C-
C-6;C-6;C-6
C-6/C;C-6;C-6
C-6/Eb;C-6;C-6
C-69/Ab;C-67;C-67
C-69/Db;C-67;C-67
C-69;C-67;C-67
C-7/C;C-7;C-7
C-7/Bb;C-7;C-7
C-7/Eb;C-7;C-7
C-7/Gb;C-7;C-7
C-7913;C-7;C-7
C-79;C-7;C-7
C-7/Ab;C-7;C-7
C-7/F;C-7;C-7
C-7/D;C-7;C-7
C-7911;C-7;C-7
C-7;C-7;C-7
C-79/Ab;C-7;C-7
C-79b;C-7;C-7b
Cm7b5;C-7b5;C-7b5
C-j7;C-j7;C-j7
C-j7913;C-j7;C-j7
C-j7911#;C-j7;C-j7#
C6;C6;C6
C6/C;C6;C6
C6/D;C6;C6
C6/Bb;C6;C6
C6/G;C6;C6
C6/A;C6;C6
C69;C67;C67
C6911#;C67;C67#
C7;C7;C7
C79/Ab;C7;C7
C7/C;C7;C7
C7/D#;C7;C7
C7913;C7;C7
C7911;C7;C7
C79;C7;C7
C7/B;C7;C7
C7/G;C7;C7
C7/A;C7;C7
C7/Ab;C7;C7
C7/D;C7;C7
C7/Eb;C7;C7
C79/C;C7;C7
C7/F#;C7;C7
C7/E;C7;C7
C79#13;C7;C7#
C79#;C7;C7#
C7911#;C7;C7#
C79#11#;C7;C7#
C7alt;C7alt;C7alt
C7913b;C7;C7b
C79b;C7;C7b
C79b/B;C7;C7b
C79b13;C7;C7b
C79b13b;C7;C7b
CC;CC;CC
Cj7/D#;Cj7;Cj7
Cj7/B;Cj7;Cj7
Cj7/A#;Cj7;Cj7
Cj7;Cj7;Cj7
Cj7/A;Cj7;Cj7
Cj79;Cj7;Cj7
Cj7911#;Cj7;Cj7#
Cj79#11#;Cj7;Cj7#
Cj7911#/Ab;Cj7;Cj7#
Cj79#;Cj7;Cj7#
Cj7911#/C;Cj7;Cj7#
Co;Co;Co
Co7;Co7;Co7
Csus/A;Csus;Csus
Csus;Csus;Csus
Csus7913;Csus7;Csus7
Csus79;Csus7;Csus7
Csus7;Csus7;Csus7
Csus7/A;Csus7;Csus7
