beatid;melid;chord;Root_pitch;chord_info;chord_map;triad;added_note
5;1;Bb6;A#;6;6;M;6
9;1;Bb6;A#;6;6;M;6
11;1;G7;G;7;7;M;m7
13;1;C-7;C;-7;-7;-;m7
15;1;F7;F;7;7;M;m7
17;1;Bb;A#;;;M;none
19;1;G-7;G;-7;-7;-;m7
21;1;C-7;C;-7;-7;-;m7
23;1;F7;F;7;7;M;m7
25;1;F-7;F;-7;-7;-;m7
27;1;Bb7;A#;7;7;M;m7
29;1;Eb7;D#;7;7;M;m7
31;1;Ab7;G#;7;7;M;m7
33;1;D-7;D;-7;-7;-;m7
35;1;G7;G;7;7;M;m7
37;1;C-7;C;-7;-7;-;m7
39;1;F7;F;7;7;M;m7
41;1;Bb6;A#;6;6;M;6
43;1;G7;G;7;7;M;m7
45;1;C-7;C;-7;-7;-;m7
47;1;F7;F;7;7;M;m7
49;1;Bb;A#;;;M;none
51;1;G-7;G;-7;-7;-;m7
53;1;C-7;C;-7;-7;-;m7
55;1;F7;F;7;7;M;m7
57;1;F-7;F;-7;-7;-;m7
59;1;Bb7;A#;7;7;M;m7
61;1;Eb7;D#;7;7;M;m7
63;1;Ab7;G#;7;7;M;m7
65;1;C-7;C;-7;-7;-;m7
67;1;F7;F;7;7;M;m7
69;1;Bb6;A#;6;6;M;6
73;1;D7;D;7;7;M;m7
81;1;G7;G;7;7;M;m7
89;1;C7;C;7;7;M;m7
97;1;F7;F;7;7;M;m7
105;1;Bb;A#;;;M;none
107;1;G7;G;7;7;M;m7
109;1;C-7;C;-7;-7;-;m7
111;1;F7;F;7;7;M;m7
113;1;Bb;A#;;;M;none
115;1;G-7;G;-7;-7;-;m7
117;1;C-7;C;-7;-7;-;m7
119;1;F7;F;7;7;M;m7
121;1;F-7;F;-7;-7;-;m7
123;1;Bb7;A#;7;7;M;m7
125;1;Eb7;D#;7;7;M;m7
127;1;Ab7;G#;7;7;M;m7
129;1;C-7;C;-7;-7;-;m7
131;1;F7;F;7;7;M;m7
133;1;Bb6;A#;6;6;M;6
137;1;Bb6;A#;6;6;M;6
139;1;G7;G;7;7;M;m7
141;1;C-7;C;-7;-7;-;m7
143;1;F7;F;7;7;M;m7
145;1;Bb;A#;;;M;none
147;1;G-7;G;-7;-7;-;m7
149;1;C-7;C;-7;-7;-;m7
151;1;F7;F;7;7;M;m7
153;1;F-7;F;-7;-7;-;m7
155;1;Bb7;A#;7;7;M;m7
157;1;Eb7;D#;7;7;M;m7
159;1;Ab7;G#;7;7;M;m7
161;1;D-7;D;-7;-7;-;m7
163;1;G7;G;7;7;M;m7
165;1;C-7;C;-7;-7;-;m7
167;1;F7;F;7;7;M;m7
169;1;Bb6;A#;6;6;M;6
171;1;G7;G;7;7;M;m7
173;1;C-7;C;-7;-7;-;m7
175;1;F7;F;7;7;M;m7
177;1;Bb;A#;;;M;none
179;1;G-7;G;-7;-7;-;m7
181;1;C-7;C;-7;-7;-;m7
183;1;F7;F;7;7;M;m7
185;1;F-7;F;-7;-7;-;m7
187;1;Bb7;A#;7;7;M;m7
189;1;Eb7;D#;7;7;M;m7
191;1;Ab7;G#;7;7;M;m7
193;1;C-7;C;-7;-7;-;m7
195;1;F7;F;7;7;M;m7
197;1;Bb6;A#;6;6;M;6
201;1;D7;D;7;7;M;m7
209;1;G7;G;7;7;M;m7
217;1;C7;C;7;7;M;m7
225;1;F7;F;7;7;M;m7
233;1;Bb;A#;;;M;none
235;1;G7;G;7;7;M;m7
237;1;C-7;C;-7;-7;-;m7
239;1;F7;F;7;7;M;m7
241;1;Bb;A#;;;M;none
243;1;G-7;G;-7;-7;-;m7
245;1;C-7;C;-7;-7;-;m7
247;1;F7;F;7;7;M;m7
249;1;F-7;F;-7;-7;-;m7
251;1;Bb7;A#;7;7;M;m7
253;1;Eb7;D#;7;7;M;m7
255;1;Ab7;G#;7;7;M;m7
257;1;C-7;C;-7;-7;-;m7
259;1;F7;F;7;7;M;m7
261;1;Bb6;A#;6;6;M;6
265;1;Bb6;A#;6;6;M;6
267;1;G7;G;7;7;M;m7
269;1;C-7;C;-7;-7;-;m7
271;1;F7;F;7;7;M;m7
273;1;Bb;A#;;;M;none
275;1;G-7;G;-7;-7;-;m7
277;1;C-7;C;-7;-7;-;m7
279;1;F7;F;7;7;M;m7
281;1;F-7;F;-7;-7;-;m7
283;1;Bb7;A#;7;7;M;m7
285;1;Eb7;D#;7;7;M;m7
287;1;Ab7;G#;7;7;M;m7
289;1;D-7;D;-7;-7;-;m7
291;1;G7;G;7;7;M;m7
293;1;C-7;C;-7;-7;-;m7
295;1;F7;F;7;7;M;m7
297;1;Bb6;A#;6;6;M;6
299;1;G7;G;7;7;M;m7
301;1;C-7;C;-7;-7;-;m7
303;1;F7;F;7;7;M;m7
305;1;Bb;A#;;;M;none
307;1;G-7;G;-7;-7;-;m7
309;1;C-7;C;-7;-7;-;m7
311;1;F7;F;7;7;M;m7
313;1;F-7;F;-7;-7;-;m7
315;1;Bb7;A#;7;7;M;m7
317;1;Eb7;D#;7;7;M;m7
319;1;Ab7;G#;7;7;M;m7
321;1;C-7;C;-7;-7;-;m7
323;1;F7;F;7;7;M;m7
325;1;Bb6;A#;6;6;M;6
329;1;D7;D;7;7;M;m7
337;1;G7;G;7;7;M;m7
345;1;C7;C;7;7;M;m7
353;1;F7;F;7;7;M;m7
361;1;Bb;A#;;;M;none
363;1;G7;G;7;7;M;m7
365;1;C-7;C;-7;-7;-;m7
367;1;F7;F;7;7;M;m7
369;1;Bb;A#;;;M;none
371;1;G-7;G;-7;-7;-;m7
373;1;C-7;C;-7;-7;-;m7
375;1;F7;F;7;7;M;m7
377;1;F-7;F;-7;-7;-;m7
