Test_sample_ID;Song;Song_Length;Song_Accuracy;Song_Accuracy_mel;acc_diff
0;416;29;48.28;48.28;0.0
1;320;24;4.17;25.0;20.83
2;244;57;0.0;31.58;31.58
3;55;49;44.9;44.9;0.0
4;364;47;100.0;100.0;0.0
5;51;45;68.89;77.78;8.89
6;175;99;41.41;43.43;2.02
7;190;53;49.06;30.19;-18.87
8;430;21;71.43;90.48;19.05
9;188;72;27.78;51.39;23.61
10;170;93;30.11;43.01;12.9
11;59;51;66.67;78.43;11.76
12;49;49;40.82;42.86;2.04
13;345;93;63.44;53.76;-9.68
14;236;49;69.39;73.47;4.08
15;253;23;47.83;39.13;-8.7
16;22;51;72.55;80.39;7.84
17;314;18;83.33;83.33;0.0
18;161;61;4.92;4.92;0.0
19;277;21;76.19;66.67;-9.52
20;192;90;7.78;5.56;-2.22
21;386;25;12.0;8.0;-4.0
22;294;25;76.0;80.0;4.0
23;344;166;38.55;46.39;7.84
24;258;47;65.96;53.19;-12.77
25;309;73;90.41;98.63;8.22
26;150;30;33.33;20.0;-13.33
27;131;15;80.0;66.67;-13.33
28;152;65;44.62;44.62;0.0
29;360;46;76.09;73.91;-2.18
30;100;25;0.0;0.0;0.0
31;373;20;50.0;65.0;15.0
32;88;90;16.67;32.22;15.55
33;331;63;38.1;47.62;9.52
34;215;61;98.36;98.36;0.0
35;122;52;96.15;92.31;-3.84
36;432;47;59.57;61.7;2.13
37;21;73;50.68;53.42;2.74
38;189;126;99.21;99.21;0.0
39;72;54;50.0;25.93;-24.07
40;107;159;45.28;46.54;1.26
41;271;10;60.0;90.0;30.0
42;349;22;90.91;95.45;4.54
43;103;16;0.0;0.0;0.0
